-- initial wave,, ,, ,
ok,BucPas-FuzPusAut, ,"Irina Bucurescu, Anca Pascu", ,Fuzzy pushdown automata
ok,OmlThoGil-FuzzFinStaAutCanDetEncIntRecNeuNet, ,"Ch. W. Omlin, K. K. Thornber, C. L. Giles", ,Fuzzy Finite-State Automata Can Be Deterministically Encoded Into Recurent Neural Networks
ok,Ech+-DefSyssConPre, ,"Javier Echanobe, José R. Gonzáles Mendívil, José R. Garitagoitia, Carlos F. Alastrueya", ,Deformed systems for contextual postprocessing
ok,TowSha-KnowBas-ArtNeuNet, ,"Geoffrey G. Towell, Jude W. Shavlik", ,Knowledge-Based Artificial Neural Networks
ok,EsiLiu-FuzzTreeAut, ,"Zoltán Ésik, Guangwu Liu", ,Fuzzy tree automata
ok,AndAbdAsm-ApprPattMatcFuzzLog, ,"Gabriela Andrejková, Abdulwahed Almarimi and Asmaa Mahmoud", ,Approximate Pattern Matching using Fuzzy Logic
ok,PowSimWhi-HieFuzzPattMatcRegCompLanUseMap, ,"Conrad Power, Alvin Simms, Roger White", ,Hierarchical fuzzy pattern matching for the regional comparison of land use maps
ok,ManHatPra-FuzCelAutBasSheModUrGro+, ,"Lefteris A. Mantelas, Thomas Hatzichristos, and Poulicos Prastacos", ,A Fuzzy Cellular Automata Modeling Approach -- Accessing Urban Growth Dynamics in Linguistic Terms
ok,SetWar-FuzzAutPattMatc, ,"Setzer, C. B., Warsi, N. A.", ,Fuzzy automata and pattern matching
ok,PatMor-EdgDetTecFuzzLogCEllLeaAutFuzzImPro, ,"Dhiraj Kumar Patel, Prof. Sagar A. More", ,Edge Detection Technique by Fuzzy Logic and Cellular Learning Automata using Fuzzy Image Processing
ok,Rig-FauDetIsoBasFuzzAut, ,Gerasimos G. Rigatos, ,Fault detection and isolation based on fuzzy automata
ok,BlaDelPeg-FuzzAutIndUsNeuNet, ,"A. Blanco, M. Delgado, M. C. Pegalajar", ,Fuzzy automaton induction using neural network
ok,BaiTri-PattRecUsiTemFuzzAut, ,"Gonzalo Bailadora, Gracián Triviño", ,Pattern recognition using temporal fuzzy automata
ok,NacWekVilKer-FuzzFiltImaProc, ,"Mike Nachtegael, Dietrich Van der Weken, Dimitri Van De Ville, Etienne E. Kerre (Eds.)", ,Fuzzy Filters for Image Processing
-- tabs from firefox,, ,, ,
ok,VirZim-FuzzAutFuzzRel, ,"Jernej Virant, Niko Zimic", ,Fuzzy automata with fuzzy relief
ok,BlaDelFlo-MethIndFuzzAutUsNeuNet, ,"A. Blanco, Miguel Delgado Calvo-Flores,  Maria del Carmen Pegalajar Jiménez", ,A method to induce fuzzy automata using neural networks
ok,Art-ForAutTheToBraThe, ,Michael A Arbib, ,From automata theory to brain theory
ok,MulPit-LogCalIdeImmNervAct, ,"WS McCulloch, W.H. Pitts", ,A logical Calculus of Ideas Immanent in Nervous Activity
ok,Neu-SelReprAut, ,John von Neumann, ,The Theory of Self-Reproducing Automata
ok,MacSha-RefiAlgKnoBasNeuNet, ,"Richard Maclin, Jude W. Shavlik", ,Refining Algorithms with Knowledge-Based Neural Networks: Improving the Chou-Fasman Algorithm for Protein Folding
ok,Zad-FuzzLangTheRElHumMachInt, ,L. A. Zadeh, ,Fuzzy languages and their relation to human and machine intelligence
-- aditional reading from notes.text,, ,, ,
already done,Paz-IntProbAut, ,Azaria Paz, ,Introduction to Probabilistic Automata
already done,DooKre-NewDirFuzzAut, ," Mansoor Doostfatemeh, , Stefan C. Kremer", ,New directions in fuzzy automata
ok,SebJoh-InvFuzzAutInvFuzzLang, ,"Pamy Sebastian, T. P. Johnson", ,Inverse fuzzy automata and inverse fuzzy languages
ok,Sou-EntProbGra, ,Stephen Soule, ,Entropies of probabilistic grammars
ok,Bis-PatRecMachLea, , Christopher M. Bishop, ,Pattern Recognition and Machine Learning
ok,Tou-AppAutThe, ,Julius T. Tou ?, ,Applied Automata Theory
ok,HinKwiNorPar-PriTooAutVerProbSys, ,Andrew HintonMarta KwiatkowskaGethin NormanDavid Parker, ,PRISM: A Tool for Automatic Verification of Probabilistic Systems
ok,Asv-BibFuzzAutGraLang, ,"Asveld, Peter R.J. ", ,"A Bibliography on Fuzzy Automata, Grammars and Lanuages"
ok,SnaKepAbrHas-AproxStriMatchFuzzAut, ,Václav SnášelAleš KeprtAjith AbrahamAboul Ella Hassanien, ,Approximate String Matching by Fuzzy Automata
already done,AstGariGonVillFar-ApprStrMatUsiDefFuzzAutLearExpr, ,J. J. AstrainJ. R. GaritagoitiaJ. R. Gonzalez De MendivilJ. VilladangosF. Fariña, ,Approximate String Matching Using Deformed Fuzzy Automata: A Learning Experience
ok,HopUl-IntrAutTheLangComp, ,"J.E. Hopcroft, J.D. Ullman", ,"Introduction to Automata Theory, Languages, and Computation"
ok,ChuJiaTu-LatDEpForMod, ,"Shanbo Chu, Yong Jiang, Kewei Tu", ,Latent Dependency Forest Models
already done,Asv-BibFuzzAutGraLang, ,"Asveld, Peter R.J. ", ,"A Bibliography on Fuzzy Automata, Grammars and Languages"
already done,SnaKepAbrHas-AproxStriMatchFuzzAut, ,"V´aclav Sn´a?sel1, Ale?s Keprt, Ajith Abraham, and Aboul Ella Hassanien", ,Approximate String Matching by Fuzzy Automata
ok,InuShoFauSch-RecImpStrGenFuzConSenGra, ,"M. Inui, W. Shoaff, L. Fausett, M. Schneider", ,The recognition of imperfect strings generated by fuzzy context sensitive grammars
ok,ChoRav-MinDetFinAutVagFinStaIntFuzFinSta, ,A. CHOUBEY AND K. M. RAVI., ,MINIMIZATION OF DETERMINISTIC FINITE AUTOMATA WITH VAGUE (FINAL) STATES AND INTUITIONISTIC FUZZY (FINAL) STATES
ok,Sch-TolFuzKeySimSea, ,H.J. SCHEK, ,TOLERATING FUZZINESS IN KEYWORDS BY SIMILARITY SEARCHES
ok,XuKelPopBond-AppFuzzLogBio, ,Dong Xu; James M Keller; Mihail Popescu; Rajkumar Bondugula, ,Applications of Fuzzy Logic in Bioinformatics
ok,CaoEza-NondFuzzAut, ,"Yongzhi Cao, Ezawa", ,Nondeterministic fuzzy automata
ok,Tho-FinFuzzAutRegFuzLangPatRec, ,M.G. Thomason, ,"Finite fuzzy automata, regular fuzzy languages and pattern recognition"
ok,MatSalSalYu-LexAnaSimFinFuzAutMod, ,"A. Mateescu, A. Salomaa, K. Salomaa, S. Yu,", ,Lexical analysis with a simple finite fuzzy automata model
-- aditional resources about fuzzy automata,, ,, ,
ok,Leo-FuzzTheSysTechApp, ,Cornelius T Leondes, ,Fuzzy theory systems: Techniques and Applications
ok,Sei-FuzzSysGenFuzSetTheItIniAppDev197, ,Rudolf Seising, ,The Fuzzification of systems : the genesis of fuzzy set theory and its initial applications - developments up to the 1970s
already done,SetWar-FuzzAutPattMatc, , C B Setzer; N A Warsi, ,Fuzzy automata and pattern matching : final report
ok,Jan-FouFuzzContPracAppr, ,Jan Jantzen, ,Foundations of fuzzy control : a practical approach
ok,Hil-FuzContIden, ,John H Lilly, ,Fuzzy control and identification
ok,CarKha-UsiArtIntCheBioPraGui, ,Hugh M Cartwright; Nawwaf Kharma, ,Using artificial intelligence in chemistry and biology : a practical guide
