	ChaJos-NoteFuzzTreeAut	S. R. Chaudhari, Mukta N. Joshi	A Note on Fuzzy Tree Automata	 
	Bel-DoExaShaFuzzSetMatt	R. Bělohlávek	Do exact shapes of fuzzy sets matter?	 
	Xia-RSImaProcAut	Xian-feng, Yu	RS image processing automata	 
	YiMin-ForModComWord	Ying, Mingsheng	A formal model of computing with words	 
	QiuWan-ProbModCompWords	Daowen Qiu, Huaiqing Wang	A probabilistic model of computing with words	 
	Rich-FuzEvoCellAut	James Neal Richter	Fuzzy evolutionary cellular automata	 
	Ast+-FuzzAutEpsMovCmpFuzzMeasBtwStrs	J. Astrain, J.R. González de Mendívil, J.R. Garitagoitia	Fuzzy automata with $\epsilon$-moves compute fuzzy measures between strings	 
	RamGir-CharFuzzRegLang	Dr. V. Ramaswamy,  Mrs. Girijamma. H. A.	Characterization of Fuzzy Regular Languages	 
	BucPas-FuzPusAut	Irina Bucurescu, Anca Pascu	Fuzzy pushdown automata	 
	OmlThoGil-FuzzFinStaAutCanDetEncIntRecNeuNet	Ch. W. Omlin, K. K. Thornber, C. L. Giles	Fuzzy Finite-State Automata Can Be Deterministically Encoded Into Recurent Neural Networks	 
	Ech+-DefSyssConPre	Javier Echanobe, José R. Gonzáles Mendívil, José R. Garitagoitia, Carlos F. Alastrueya	Deformed systems for contextual postprocessing	 
	TowSha-KnowBas-ArtNeuNet	Geoffrey G. Towell, Jude W. Shavlik	Knowledge-Based Artificial Neural Networks	 
	EsiLiu-FuzzTreeAut	Zoltán Ésik, Guangwu Liu	Fuzzy tree automata	 
	AndAbdAsm-ApprPattMatcFuzzLog	Gabriela Andrejková, Abdulwahed Almarimi and Asmaa Mahmoud	Approximate Pattern Matching using Fuzzy Logic	 
	PowSimWhi-HieFuzzPattMatcRegCompLanUseMap	Conrad Power, Alvin Simms, Roger White	Hierarchical fuzzy pattern matching for the regional comparison of land use maps	 
	ManHatPra-FuzzCellAutModAppAccUrbGroDynLingTerm	Lefteris A. Mantelas, Thomas Hatzichristos, and Poulicos Prastacos	A Fuzzy Cellular Automata Modeling Approach -- Accessing Urban Growth Dynamics in Linguistic Terms	 
	SetWar-FuzzAutPattMatc	Setzer, C. B., Warsi, N. A.	Fuzzy automata and pattern matching	 
	PatMor-EdgDetTecFuzzLogCEllLeaAutFuzzImPro	Dhiraj Kumar Patel, Prof. Sagar A. More	Edge Detection Technique by Fuzzy Logic and Cellular Learning Automata using Fuzzy Image Processing	 
	Rig-FauDetIsoBasFuzzAut	Gerasimos G. Rigatos	Fault detection and isolation based on fuzzy automata	 
	BlaDelPeg-FuzzAutIndUsNeuNet	A. Blanco, M. Delgado, M. C. Pegalajar	Fuzzy automaton induction using neural network	 
	BaiTri-PattRecUsiTemFuzzAut	Gonzalo Bailadora, Gracián Triviño	Pattern recognition using temporal fuzzy automata	 
	NacWekVilKer-FuzzFiltImaProc	Mike Nachtegael, Dietrich Van der Weken, Dimitri Van De Ville, Etienne E. Kerre (Eds.)	Fuzzy Filters for Image Processing	 
	VirZim-FuzzAutFuzzRel	Jernej Virant, Niko Zimic	Fuzzy automata with fuzzy relief	 
	BlaDelFlo-MethIndFuzzAutUsNeuNet	A. Blanco, Miguel Delgado Calvo-Flores,  Maria del Carmen Pegalajar Jiménez	A method to induce fuzzy automata using neural networks	 
	Art-ForAutTheToBraThe	Michael A Arbib	From automata theory to brain theory	 
	MulPit-LogCalIdeImmNervAct	WS McCulloch, W.H. Pitts	A logical Calculus of Ideas Immanent in Nervous Activity	 
	Neu-SelReprAut	John von Neumann	The Theory of Self-Reproducing Automata	 
	MacSha-RefiAlgKnoBasNeuNet	Richard Maclin, Jude W. Shavlik	Refining Algorithms with Knowledge-Based Neural Networks: Improving the Chou-Fasman Algorithm for Protein Folding	 
	Zad-FuzzLangTheRElHumMachInt	L. A. Zadeh	Fuzzy languages and their relation to human and machine intelligence	 
	DooKre-NewDirFuzzAut	 Mansoor Doostfatemeh, , Stefan C. Kremer	New directions in fuzzy automata	 
	SebJoh-InvFuzzAutInvFuzzLang	Pamy Sebastian, T. P. Johnson	Inverse fuzzy automata and inverse fuzzy languages	 
	Sou-EntProbGra	Stephen Soule	Entropies of probabilistic grammars	 
	Bis-PatRecMachLea	 Christopher M. Bishop	Pattern Recognition and Machine Learning	 
	Tou-AppAutThe	Julius T. Tou ?	Applied Automata Theory	 
	HinKwiNorPar-PriTooAutVerProbSys	Andrew HintonMarta KwiatkowskaGethin NormanDavid Parker	PRISM: A Tool for Automatic Verification of Probabilistic Systems	 
	Asv-BibFuzzAutGraLang	Asveld, Peter R.J. 	A Bibliography on Fuzzy Automata, Grammars and Lanuages	 
	SnaKepAbrHas-AproxStriMatchFuzzAut	Václav SnášelAleš KeprtAjith AbrahamAboul Ella Hassanien	Approximate String Matching by Fuzzy Automata	 
	HopUl-IntrAutTheLangComp	J.E. Hopcroft, J.D. Ullman	Introduction to Automata Theory, Languages, and Computation	 
	ChuJiaTu-LatDEpForMod	Shanbo Chu, Yong Jiang, Kewei Tu	Latent Dependency Forest Models	 
	InuShoFauSch-RecImpStrGenFuzConSenGra	M. Inui, W. Shoaff, L. Fausett, M. Schneider	The recognition of imperfect strings generated by fuzzy context sensitive grammars	 
	ChoRav-MinDetFinAutVagFinStaIntFuzFinSta	A. CHOUBEY AND K. M. RAVI.	MINIMIZATION OF DETERMINISTIC FINITE AUTOMATA WITH VAGUE (FINAL) STATES AND INTUITIONISTIC FUZZY (FINAL) STATES	 
	Sch-TolFuzKeySimSea	H.J. SCHEK	TOLERATING FUZZINESS IN KEYWORDS BY SIMILARITY SEARCHES	 
	XuKelPopBond-AppFuzzLogBio	Dong Xu; James M Keller; Mihail Popescu; Rajkumar Bondugula	Applications of Fuzzy Logic in Bioinformatics	 
	CaoEza-NondFuzzAut	Yongzhi Cao, Ezawa	Nondeterministic fuzzy automata	 
	Tho-FinFuzzAutRegFuzLangPatRec	M.G. Thomason	Finite fuzzy automata, regular fuzzy languages and pattern recognition	 
	MatSalSalYu-LexAnaSimFinFuzAutMod	A. Mateescu, A. Salomaa, K. Salomaa, S. Yu,	Lexical analysis with a simple finite fuzzy automata model	 
	Leo-FuzzTheSysTechApp	Cornelius T Leondes	Fuzzy theory systems: Techniques and Applications	 
	Sei-FuzzSysGenFuzSetTheItIniAppDev197	Rudolf Seising	The Fuzzification of systems : the genesis of fuzzy set theory and its initial applications - developments up to the 1970s	 
	Jan-FouFuzzContPracAppr	Jan Jantzen	Foundations of fuzzy control : a practical approach	 
	Hil-FuzContIden	John H Lilly	Fuzzy control and identification	 
	CarKha-UsiArtIntCheBioPraGui	Hugh M Cartwright; Nawwaf Kharma	Using artificial intelligence in chemistry and biology : a practical guide	 
	OpeAbr-GeoComp	Stan Openshaw; Robert J Abrahart	GeoComputation	 
	Rec-EcoInfScoTechApp	Friedrich Recknagel	Ecological informatics : scope, techniques, and applications	 
	CipBatFar-CompVisDetRecRec	Roberto Cipolla; Sebastiano Battiato; Giovanni Maria Farinella	Computer vision : detection, recognition and reconstruction	 
	For-FuzCelAutConjNormForm	David M Forrester	Fuzzy cellular automata in conjunctive normal form	 
	IgnCirBog-DetFuzAutMemValComResLat	Jelena Ignjatović, Miroslav Ćirić, Stojan Bogdanović	Determinization of fuzzy automata with membership values in complete residuated lattices	 
	CirIgnDamBas-BisFuzAut	Miroslav Ćirić, Jelena Ignjatović, Nada Damljanović, Milan Bašić	Bisimulations for fuzzy automata	 
	JiaQin-FuzGraTheBasLat	Jianhua Jin, Qingguo Li	Fuzzy grammar theory based on lattices	 
	Zad-FuzzAlg	L. A. Zadeh	Fuzzy algorithms	 
	KhoNer-AutThe-Appls	Bakhadyr Khoussainov, Anil Nerode 	Automata Theory and its Applications	 
	Gop-ComEngAppAuTheLo	Ganesh Gopalakrishnan	Computation Engineering: Applied Automata Theory and Logic	 
	MosTie-AppModLogLing	 Moss, L. S., & Tiède, H.-J.	Applications of modal logic in linguistics	 
