	LiPed-MinLatFinAutAppDecLatLang	Y.M. Li, W. Pedrycz	Minimization of lattice finite automata and its application to the decomposition of lattice languages	 
	LiLiLi-RelAmoSevTypFuzAut	Z. Li, P. Li, Y.M. Li	The relationships among several types of fuzzy automata	 
	Pee-FinFuzzAccRegFuzGraSyntPattRec	K. Peeva	Finite L-fuzzy acceptors, regular L-fuzzy grammars and syntactic pattern recognition	 
	PeeZah-ComBehFinFuzMac+	K. Peeva, Z. Zahariev	Computing behavior of finite fuzzy machines—algorithm and its application to reduction and minimization	 
	Qiu-ChaFuzFinAut	D.W. Qiu	Characterizations of fuzzy finite automata	 
	Pett-TermPattMatchComInsFinAutThe	Mikael Pettersson	A Term Pattern-Match Compiler Inspired by Finite Automata Theory	 
	BraKuStra-DecProBisInfStaProSys	Brázdil, Kučera,Stražovský	Deciding Probabilistic Bisimilarity over Infinite-State Probabilistic Systems	 
	Yin-ForModComWord	Mingsheng Ying	A Formal Model of Computing With Words	 
	Shu-OnCoQuaFacAnaBasFuzMat	Ma Shuqin 	Online Course Quality Factor Analysis Based on Fuzzy Mathematics 	 
	TaiHaLin-FatUncGuiFuzMeaSegMedIm	Ahmed Al-Taie, Horst K. Hahn, and Lars Linsen	Fast Uncertainty-Guided Fuzzy C-Means Segmentation of Medical Images	 
	JahHau-ComVisAppGuiStuPRac	Bernd Jähne,Horst Haussecker	Computer Vision and Applications: A Guide for Students and Practitioners	 
	SanAmi-PatRecClaModApp	Sankar K. Pal,Pal. Amita	Pattern Recognition: From Classical to Modern Approaches	 
	GruBra-ManMachInt4	Aleksandra Gruca • Agnieszka Brachman	Man–Machine Interactions 4	 
	GruCza-ManMachInt3	Aleksandra Gruca, Tadeusz Czachórski	Man–Machine Interactions 3	 
	CzaKozSta-ManMachInt2	Tadeusz Czachórski, Stanisław Kozielski, and Urszula Stanczyk	Man–Machine Interactions 2	 
	PatPal-FuzGraSynRecSkeMatXra	Pathak, A.; Pal, S.K.	Fuzzy Grammars in Syntactic Recognition of Skeletal Maturity from X-Rays	 
	ZhuGeoShiChe-OffLineSysRecFreWriZip	Xuefang Zhu ; C. Geoger ; Qingyun Shi ; Mingde Cheng	An off-line system for recognition of free written zipcodes	 
	San-ReaFuzLanProMaxMaxAut	Eugene S. Santos	Realizations of fuzzy languages by probabilistic, max-product, and maximin automata	 
	KocCam-FuzLogConIntElePowSysLoaFreCon	İlhan Kocaarslan; Ertuğrul Çam	Fuzzy logic controller in interconnected electrical power systems for load-frequency control	 
	ChoTen-FuzLogConTraJunSig	Chih-Hsun Chou *, Jen-Chao Teng	A fuzzy logic controller for traffic junction signals	 
	GaoXu-UniAppSupSigFun	B. Gao; Y. Xu	Univariant Approximation by Superpositions of a Sigmoidal Function	 
	HuaFu-StoSynAnaProGraSynPatRec	T. Huang; K.S. Fu	Stochastic syntactic analysis for programmed grammars and syntactic pattern recognition	 
	Mur-IntKohSelOrgFeaMap+	Murtagh	Interpreting the Kohonen self-organizing feature map using contiguity-constrained clustering	 
	Kac-FuzSysMed	Janusz Kacprzyk	Fuzzy Systems in Medicine	 
	SinKum-MetFuzRegExFuzAuUsFolAut	Rahul Kumar Singh, Ajay Kumar	Metamorphosis of Fuzzy Regular Expressions to Fuzzy Automata using the Follow Automata	 
	IllSolYu-RedSiNFAUsEquPre	Lucian Ilie;  Roberto Solis-Oba; and Sheng Yu	Reducing the size of NFAs by using equivalences and preorders	 
	Wu-CalStoCelAutAppRurUrbLanConv	FULONG WU	Calibration of stochastic cellular automata: the application to rural-urban land conversions	 
	Doo-SigOutMapFuzAut	Doostfatemeth, Kremer	The significance of output mapping in fuzzy automata	 
	ChaRam-IntFuzPushAutIntFuzConFreLan	Chatrapathy. K, and V. Ramaswamy	Intuitionistic Fuzzy Pushdown Automata and Intuitionistic Fuzzy Context-Free Languages 	 
	AlAhHep+-ModUrbGroDynUsCelAutGIS	Khalid Al-Ahmadia, Alison Heppenstall, Linda Seeb and Jim Hoggb	Modeling Urban Growth Dynamics using Cellular Automata and GIS 	 
	MesSol-AutSemCat	Jose Meseguer, Ignacio Sols	AUTOMATA IN SEMIMODULE CATEGORIES	 
	Asv-ToeRobParFuzConLanRec	PETER R. J. ASVELD	TOWARDS ROBUSTNESS IN PARSING — FUZZIFYING CONTEXT-FREE LANGUAGE RECOGNITION	 
	GooHarLee-ImpAppAut5	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 5	 
	GooHarLee-ImpAppAut6	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 6	 
	GooHarLee-ImpAppAut7	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 7	 
	GooHarLee-ImpAppAut8	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 8	 
	GooHarLee-ImpAppAut9	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 9	 
	GooHarLee-ImpAppAut10	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 10	 
	GooHarLee-ImpAppAut11	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 11	 
	GooHarLee-ImpAppAut12	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 12	 
	GooHarLee-ImpAppAut13	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 13	 
	GooHarLee-ImpAppAut14	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 14	 
	GooHarLee-ImpAppAut15	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 15	 
	GooHarLee-ImpAppAut16	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 16	 
	GooHarLee-ImpAppAut17	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 17	 
	GooHarLee-ImpAppAut18	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 18	 
	GooHarLee-ImpAppAut19	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 19	 
	GooHarLee-ImpAppAut20	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 20	 
	GooHarLee-ImpAppAut21	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 21	 
	GooHarLee-ImpAppAut22	Gerhard Goos, Juris Hartmanis, and Jan van Leeuwen	Implementation and Application of Automata 22	 
