ID;TYPE;Author;Title;Year;Publisher;Journal;Note
LaiDraSch-IntMulEvCelAutMetLanSimMod;ARTICLE;Terence Lai , Suzana Dragi\\'{c}evi\\'{c}, Margaret Schmidt;Integration of multicriteria evaluation and cellular automata methods for landslide simulation Modelling;2013;;Geomatics, Natural Hazards and Risk;
ManHatPra-FuzCelAutBasSheModUrGro+;ARTICLE;Eleftherios A. Mandelas, Thomas Hatzichristos, Poulicos Prastacos;A Fuzzy Cellular Automata Based Shell for Modeling Urban Growth – A Pilot Application in Mesogia Area;2007;;AGILE International Conference on Geographic Information Science;
ManHatPra-ModUrbGroUsFuzCelAut;ARTICLE;Lefteris A. Mantelas, Poulicos Prastacos, Thomas Hatzichristos;Modeling Urban Growth using Fuzzy Cellular Automata;2008;;AGILE International Conference on Geographic Information Science;
Wu-CalStoCelAutAppRurUrbLanConv;ARTICLE;F. Wu;Calibration of stochastic cellular automata: the application to rural-urban land conversions;2002;;International Journal of Geographical Information Science;
PowSimWhi-HieFuzzPattMatcRegCompLanUseMap;ARTICLE;Conrad Power, Alvin Simms, Roger White;Hierarchical fuzzy pattern matching for the regional comparison of land use maps;2010;;International Journal of Geographical Information Science;
Dra-CouFuzSetTheGisBaCelAutLanUseChaMod;ARTICLE;Suzana Dragicevic;Coupling fuzzy sets theory and GIs-based cellular automata for land-use change modeling;2004;;IEEE Annuinformational Meeting of the fuzzy ;
WasPar-PreSpaDisEleEnCon+;ARTICLE;Jacek Wasilewski, Miros\\l{}aw Parol;Prediction of spatial distribution of electric energy consumers with the use of fuzzy cellular automata;2009;;Przegl\\k{a}d elektrotechniczny;
LiuPhi-DevCelAutModUrbGroIncFuzSetApp;ARTICLE;Yan Liu, Stuart R. Phinn;Developing a Cellular Automaton Model of Urban Growth Incorporating Fuzzy Set Approaches;2003;;Computers, Environment and Urban Systems;
Maz+-ProTreAutAppBehMod;ARTICLE;Geoff Mazeroff, Victor De Cerqueira, Jens Gregor, Michael G. Thomason;Probabilistic Trees and Automata for Application Behavior Modeling;2003;;ACM Southeast Regional Conference Proceedings;
Rus-ImaProHan;BOOK;John C. Russ;The Image Processing Handbook;2011;CRC Press;;
MaiAgg-StuComVarImDetEdTec;ARTICLE;Raman Maini, Dr. Himanshu Aggarwal;Study and Comparison of Various Image Edge Detection Techniques;2009;;International Journal of Image Processing;
SadRetKam-EfMetImpNoiRedImFuzCelAut;ARTICLE;Sana Sadeghi, Alireza Rezvanian, Ebrahim Kamrani;An efficient method for impulse noise reduction from images using fuzzy cellular Automata;2012;;International Journal of Electronics and Communications;
SahUguSah-SalPepNoiFilFuzCelAut;ARTICLE;Ugur Sahin, Selman U\\u{g}uz, Ferat Sahin;Salt and pepper noise filtering with fuzzy-cellular automata;2013;;Computers \\& Electrical Engineering;
MajCha-FuzCelAutModPatClas;ARTICLE;Pradipta Maji, Parimal Pal Chaudhuri;Fuzzy Cellular Automata for Modeling Pattern Classifier;2005;;IEICE - Transactions on Information and Systems;
WanJiaZhoDu-ImProcBasFuzCelAuMod;ARTICLE;Hong Wang, Junna Jiang, Lihui Zhou and Liping Du;Image Processing Based on Fuzzy Cellular Automata Model;2009;;Fourth International Conference on Innovative Computing, Information and Control;
HamKoNam-FirFlaDetBasFuzFinAut;ARTICLE;Sun Jae Ham, Byoung Chul Ko, Jae Yeal Nam;Fire-Flame Detection based on Fuzzy Finite Automation;2010;;International Conference on Pattern Recognition;
KoHamNam-ModForFuFiAuDetIrrFirFla;ARTICLE;Byoung Chul Ko, Sun Jae Ham, Jae Yeal Nam;Modeling and Formalization of Fuzzy Finite Automata for Detection of Irregular Fire Flames;2011;;IEEE transactions on circuits and systems for video technology;
ZlaSteSch-FiStaConTraFemPro;ARTICLE;Daniel Zlatnik, Beatrice Steiner, Gerhard Schweitzer;Finite-State Control of a Trans-Femoral (TF) Prosthesis;2002;;IEEE transactions on control systems technology;
CheMyn-ModAlgBloDutCosWat+;ARTICLE;Qiuwen Chen, Arthur E. Mynett;Modelling algal blooms in the Dutch coastal waters by integrated numerical and fuzzy cellular automata approaches;2006;;Ecological modeling;
MilAtl-ProAuModEpiCelNet;ARTICLE;M. Milgram, H. Atlan;Probabilistic Automata as a Model for Epigenesis of Cellular Networks;1983;;Journal of theoretical biology;
BocChe-CriBePrAuNetModSprInfDis+;ARTICLE;Nino Boccaratt, Kyeong Cheongt;Critical behaviour of a probabilistic automata network SIS model for the spread of an infectious disease in a population of moving individuals;1993;;Journal of Physics A: Mathematical and General;
Jia+-ExHeaSimMetBasIntHumTheMod;ARTICLE;Nan Jia, Xiaohui Chen, Liang Yu, Ruomei Wang, Kaixing Yang, Xiaonan Luo;An Exercise Health Simulation Method Based on Integrated Human Thermophysiological Model;2017;;Computational and Mathematical Methods in Medicine;
GupRah-CliMonUsFuzSys;ARTICLE;Himadrishekhar Gupta, Swapan Raha;Clinical monitoring using fuzzy system;2014;;Annals of Fuzzy Mathematics and Informatics;
CamMerNun-UsFuzAutDiagPrHeaPro;ARTICLE;Azahara Camacho, Mercedes G. Merayo, Manuel N\\'{u}\\~{n}ez;Using fuzzy automata to diagnose and predict heart problems;2017;;IEEE Congress on Evolutionary Computation;
SteAdl-CliMonFuzAut;ARTICLE;Friedrich Steimann, Klaus-Peter Adlassnig;Clinical monitoring with fuzzy automata;1993;;Fuzzy Sets and Systems;
Est+-CytImAnaGenFuFiStMa;ARTICLE;J. Estevez, S. Alay\\'{o}n, L. Moreno, J. Sisut, R. Asuilar;Cytological image analysis with a genetic fuzzy finite state machine;2005;;Computer Methods and Programs in Biomedicine;
PatPal-FuzGraSynRecSkeMatXra;ARTICLE;Amita Pathak, Sankar K. Pal;Fuzzy Grammars in Syntactic Recognition of Skeletal Maturity from X-Rays;1986;;IEEE transactions systems, man and cybernetics;
RigTza-FuzAutFauDia;ARTICLE;Gerasimos G. Rigatos, Spyros G. Tzafestas;Fuzzy Automata for Fault Diagnosis: A Syntactic Analysis Approach;2004;;Methods and Applications of Artificial Intelligence.;
Alv-HumGaiModUsGenFuzFinStaMac;ARTICLE;Alberto Alvarez-Alvarez, Gracian Trivino, Oscar Cordon;Human gait modeling using a genetic fuzzy finite state machine;2013;;IEEE Transactions on Fuzzy Systems;
AlvTri-ComModQuaPerSig;ARTICLE;Alberto Alvarez-Alvarez, Gracian Trivino;Comprehensible model of a quasi-periodic signal;2009;;Ninth International Conference on Intelligent Systems Design and Applications;
